// All values are from https://www.avoindata.fi/data/fi/dataset/none "Sukunimitilasto 2018-03-05"
Metsälä, 937
Kulju, 936
Häyrinen, 934
Kallioniemi, 934
Hietikko, 933
Hellström, 932
Dahl, 931
Koivukangas, 931
Siponen, 931
Toropainen, 930
Isomäki, 929
Pöntinen, 929
Terho, 929
Käyhkö, 928
Naumanen, 927
Liimatta, 926
Asplund, 925
Kopra, 925
Koskelainen, 923
Rouvinen, 923
Perkiö, 921
Juuti, 920
Pöyry, 920
Kaski, 919
Kröger, 919
Romppainen, 918
Oksman, 917
Heikkonen, 916
Klemola, 915
Palokangas, 913
Malin, 912
Back, 911
Arponen, 910
Lievonen, 910
Vesanen, 910
Hintsala, 908
Puolakka, 907
Siren, 907
Haakana, 906
Mantere, 904
Knuuttila, 900
Granqvist, 896
Pyykönen, 896
Pajula, 895
Toiviainen, 894
Mäkynen, 891
Ruokolainen, 891
Lund, 890
Norrgård, 889
Parkkila, 888
Mehtälä, 886
Jurvanen, 882
Miettunen, 881
Sandell, 881
Isaksson, 879
Laasonen, 879
Paldanius, 879
Isoaho, 878
Ristola, 878
Silander, 878
Hyyryläinen, 876
Kankare, 876
Pajari, 876
Kanniainen, 875
Lahtela, 875
Myllyniemi, 875
Boman, 874
Suikkanen, 874
Ukkola, 874
Luomala, 873
Huovila, 871
Kotiranta, 869
Sorjonen, 869
Räikkönen, 868
Halinen, 867
Ahlqvist, 866
Berglund, 866
Koskelo, 865
Riekki, 865
Stenroos, 864
Särkkä, 861
Lahdenperä, 858
Luokkanen, 858
Kurkinen, 857
Smeds, 857
Haapasalo, 856
Lauronen, 854
Riekkinen, 854
Vierimaa, 854
Sironen, 853
Vihavainen, 853
Viskari, 853
Tuomikoski, 852
Lohi, 851
Paaso, 849
Herrala, 848
Poikonen, 848
Takalo, 848
Ohtonen, 847
Myyryläinen, 844
Kallioinen, 843
Korkalainen, 843
Möttönen, 843
Koikkalainen, 842
Pernu, 842
Knuutinen, 841
Lehtomäki, 841
Malmi, 841
Huuhtanen, 840
Rinkinen, 840
Tammela, 840
Niemistö, 838
Pakkala, 838
Hinkkanen, 837
Savola, 837
Schroderus, 837
Kurtti, 836
Raivio, 835
Kujansuu, 832
Palola, 832
Vähäkangas, 831
Laurikainen, 830
Vaarala, 829
Launonen, 828
Saaristo, 828
Rask, 827
Flink, 826
Kinnari, 825
Valo, 824
Hagman, 823
Helle, 822
Kojo, 822
Viinikka, 822
Fredriksson, 821
Myller, 821
Vahtera, 821
Kostiainen, 819
Oinas, 819
Pentti, 819
Engström, 814
Ruusunen, 814
Haatainen, 813
Tikkala, 813
Kantonen, 811
Hyppönen, 809
Mertanen, 809
Ristolainen, 808
Husu, 807
Brandt, 806
Lepola, 806
Aikio, 805
Reiman, 802
Tuunanen, 802
Jakobsson, 801
Pohjolainen, 801
Wiik, 801
Kankainen, 800
Myllykangas, 800
Vento, 800
Bäckström, 799
Paloniemi, 799
Rosenqvist, 796
Ahvenainen, 794
Pullinen, 794
Rutanen, 794
Ilola, 793
Forsell, 792
Korkala, 791
Lötjönen, 791
Hölttä, 790
Rosendahl, 789
Taskila, 789
Pussinen, 788
Lampi, 786
Hagert, 785
Kallunki, 785
Keto, 785
Lähdesmäki, 785
Pohjalainen, 785
Ruhanen, 784
Suojanen, 784
Hakamäki, 783
Taavitsainen, 783
Rantalainen, 782
Bäck, 781
Havukainen, 781
Järvensivu, 781
Kunnas, 781
Maunula, 781
Tran, 781
Uitto, 780
Varonen, 779
Reinikka, 777
Grönberg, 776
Laukka, 776
Puska, 776
Hakonen, 775
Hassan, 775
Pölönen, 775
Rastas, 775
Riipinen, 774
Tuisku, 773
Fagerlund, 772
Tapaninen, 772
Myöhänen, 767
Sievänen, 767
Sorri, 767
Tanner, 767
Kiljunen, 765
Kurikka, 765
Rainio, 763
Kantanen, 762
Pekkola, 761
Valjakka, 760
Koivuranta, 759
Nivala, 757
Huhtamäki, 755
Jormanainen, 755
Korkeamäki, 755
Muikku, 755
Tammisto, 755
Torniainen, 755
Vesalainen, 755
Visuri, 755
Mehtonen, 754
Olin, 754
Poikela, 753
Roine, 752
Karhula, 749
Ahlfors, 748
Muukkonen, 748
Pesola, 748
Illikainen, 747
Julin, 745
Lindstedt, 744
Fagerholm, 743
Saarnio, 743
Tiittanen, 743
Grönqvist, 741
Käkelä, 741
Vehmas, 741
Eerikäinen, 740
Pekonen, 740
Tuohimaa, 740
Ylimäki, 740
Koivistoinen, 738
Kostamo, 738
Issakainen, 737
Viita, 737
Österman, 737
Nyqvist, 736
Äikäs, 736
Piiparinen, 735
Juopperi, 732
Saarikko, 732
Luhtala, 731
Malmström, 731
Finnilä, 729
Särkelä, 729
Peippo, 728
Kiviharju, 727
Dahlström, 726
Leminen, 725
Sihvola, 724
Niittymäki, 723
Levänen, 722
Kuula, 721
Lipsanen, 721
Paju, 719
Kvist, 717
Teräväinen, 716
Kaskinen, 715
Nupponen, 715
Törrönen, 715
Korte, 714
Kymäläinen, 714
Pajala, 714
Sipiläinen, 714
Valta, 714
Pihlajaniemi, 713
Luotonen, 712
Marin, 712
Kilponen, 711
Rasi, 711
Engblom, 710
Litmanen, 709
Vilenius, 709
Grönfors, 708
Hyrkäs, 707
Raita, 707
Rämä, 707
Mantila, 706
Takanen, 706
Forsblom, 705
Lumme, 705
Haaranen, 704
Hautaniemi, 703
Koskimäki, 703
Kuutti, 703
Boström, 702
Löppönen, 700
Poikolainen, 699
Puisto, 699
Kylliäinen, 695
Pääkkö, 695
Tammelin, 695
Multanen, 694
Sepponen, 694
Valkeapää, 693
Långström, 692
Sopanen, 692
Vilkman, 692
Turkki, 691
Laurén, 689
Lundell, 689
Sundman, 689
Willman, 689
Ikola, 688
Jeskanen, 687
Vuoristo, 687
Elonen, 686
Jokiniemi, 686
Korva, 684
Nylander, 684
Tainio, 684
Turkia, 684
Konttila, 683
Asp, 682
Paakkunainen, 682
Lajunen, 681
Gröndahl, 680
Kupari, 680
Roth, 680
Sihvo, 680
Talja, 680
Englund, 679
Joki, 679
Luttinen, 679
Smolander, 679
Viinamäki, 679
Harinen, 678
Pesu, 678
Metsola, 676
Puro, 675
Hautanen, 674
Keinonen, 674
Lehtiniemi, 674
Mannonen, 674
Weckman, 674
Martiskainen, 673
Nygren, 672
Posti, 672
Skog, 672
Viitaniemi, 672
Santanen, 671
Taponen, 671
Koli, 669
Mikkilä, 669
Tirronen, 669
Töyrylä, 669
Hagström, 668
Borg, 667
Kolu, 666
Sjölund, 666
Jokitalo, 665
Karonen, 665
Falck, 664
Paukkunen, 664
Roiha, 664
Juola, 663
Tyrväinen, 663
Tonteri, 662
Väre, 660
Kuha, 659
Saarimaa, 659
Nurkkala, 656
Summanen, 656
Suutarinen, 656
Uotinen, 656
Alén, 655
Harjunpää, 655
Pylvänäinen, 655
Tuuri, 655
Uski, 655
Hartikka, 654
Raitio, 654
Hoikkala, 653
Rummukainen, 653
Sandelin, 653
Kattelus, 652
Pelttari, 651
Syvänen, 650
Vitikainen, 650
Huhtinen, 649
Tommila, 649
Häyrynen, 648
Koivusalo, 648
Muurinen, 648
Ritola, 648
Alastalo, 646
