// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Elijah, 52
Stig-Olof, 52
Torvald, 52
Waldemar, 52
Mert, 52
Toni-Pekka, 51
Darin, 51
Christofer, 51
Omer, 51
Eeki, 51
Ruslan, 51
Ukko-Pekka, 51
Paavali, 51
Miron, 51
Artti, 51
Valte, 51
Juha-Antti, 50
Kaleva, 50
Antoni, 50
Sayed, 50
Alberto, 50
Saku-Petteri, 50
Havu, 50
Danny, 50
Marcel, 50
Halti, 50
Fredric, 49
Jemi, 49
Lassi-Pekka, 49
Ricky, 49
Isko, 49
Ngoc, 49
Feliks, 49
Mahmoud, 49
Glen, 49
Antte, 49
Markko, 49
Jevgeni, 49
Marcos, 49
Jaakob, 49
Arttur, 49
Jan-Christian, 48
Bill, 48
Ömer, 48
Ville-Matias, 48
Amar, 48
Per-Ole, 48
Veli-Antti, 48
Miso, 48
Konstantinos, 48
Jaron, 48
Vesa-Heikki, 48
Juno, 48
Ernest, 48
Lippo, 48
Huu, 48
Stig-Göran, 48
Troy, 48
Veli-Mikko, 48
Lev, 48
Carl-Magnus, 48
Matheo, 48
Caspar, 48
Timofei, 47
Adel, 47
Ayub, 47
Kamal, 47
Jore, 47
Tomy, 47
Don, 47
Paulo, 47
Adil, 47
Derek, 46
Egor, 46
Odin, 46
Daniele, 46
Anwar, 46
Oke, 46
Aidan, 46
Andrej, 46
Faisal, 46
Velipekka, 45
Niko-Pekka, 45
Veli-Petteri, 45
Mostafa, 45
Fritz, 45
Jayden, 45
Niiles, 45
Sammeli, 45
Akram, 45
Ensi, 45
Paul-Erik, 45
Juhan, 45
Aston, 45
Jeppe, 44
Jani-Petri, 44
Joni-Matti, 44
Jukkapekka, 44
Mino, 44
Ilo, 44
Aapi, 44
Alek, 44
Nisse, 44
Sakariye, 44
Janek, 44
Hanno, 43
Danil, 43
Viki, 43
Taro, 43
Nasir, 43
Rinaldo, 43
Muisto, 43
Pietro, 43
Yassin, 43
Haidar, 43
Erpo, 43
Evald, 43
Päivö, 43
Bror-Erik, 43
Eetu-Petteri, 43
Diar, 42
Bo-Göran, 42
Saad, 42
Jopi, 42
Toma, 42
Georgi, 42
Ayman, 42
Teddy, 42
Lars-Olof, 42
Jusu, 42
Joosa, 42
Juha-Heikki, 42
Romi, 42
Lari-Pekka, 42
Marwan, 42
Reza, 42
Terjo, 42
Hussain, 42
Dino, 42
Ari-Petteri, 42
Aslan, 42
Liban, 42
Azad, 42
Xuan, 41
Ebbe, 41
Salah, 41
Päiviö, 41
Kai-Erik, 41
Jari-Petri, 41
Jan-Ole, 41
Vasili, 41
Retu, 41
Taha, 41
Seth, 41
Aki-Matti, 41
Marko-Tapio, 41
Kirmo, 41
Stefano, 40
Antony, 40
Untamo, 40
Francesco, 40
Ilia, 40
Armin, 40
Remo, 40
Kay, 40
Jasin, 40
Florian, 40
Pasi-Petteri, 40
Jalmar, 40
Mateo, 40
Veka, 40
Amadeus, 40
Roine, 40
Francis, 40
Omid, 40
Larry, 39
Jymy, 39
Hong, 39
Joeli, 39
Tomi-Petteri, 39
Toni-Petteri, 39
Farid, 39
Göte, 39
Dimitrios, 39
Zakariya, 39
Adem, 39
Stepan, 39
Aku-Petteri, 39
Seeti, 39
Jedi, 39
Arif, 39
Tarik, 39
Nici, 39
Walid, 38
Hakan, 38
Jerkko, 38
Idris, 38
Sippo, 38
Eilo, 38
Jan-Eerik, 38
Hakim, 38
Hannu-Matti, 38
Ake, 38
Philippe, 38
Jorge, 38
Tatu-Pekka, 38
Lauri-Pekka, 38
Rickhard, 38
Filipp, 38
Tico, 37
Gert, 37
Theodore, 37
Aziz, 37
Veli-Markku, 37
Efe, 37
Mikko-Matti, 37
Raphael, 37
El, 37
Valentino, 37
Vilgot, 37
Haris, 37
Joosu, 37
Darius, 37
Farhan, 37
Owen, 37
Pellervo, 37
Iisko, 37
Dave, 37
Chi, 37
Danial, 37
Freddy, 37
Carl-Eric, 37
Ioannis, 37
Aadam, 37
Ville-Mikko, 37
Frey, 36
Jaso, 36
Abdulahi, 36
Arttu-Pekka, 36
Mikko-Ville, 36
Jaroslav, 36
Kenan, 36
Gary, 36
Hashim, 36
Misca, 36
Miitri, 36
Juha-Mikko, 36
Varma, 36
Nathaniel, 36
Osvald, 36
Oma, 36
Artjom, 36
Sylvester, 36
Eetu-Pekka, 36
The, 36
Emin, 36
Donald, 36
Viacheslav, 36
Reidar, 36
Nikola, 35
Can, 35
Noam, 35
Olli-Heikki, 35
Egon, 35
Daavid, 35
Kasmir, 35
Samu-Petteri, 35
Bastian, 35
Hadi, 35
Aku-Pekka, 35
Salman, 35
Baran, 35
Maxwell, 35
Joas, 35
Tuovi, 35
Volter, 35
Jörn, 35
Nicolai, 35
Veerti, 35
Adiel, 35
Lamin, 35
Ayuub, 35
Evgeni, 35
Hüseyin, 35
Georgij, 35
Hans-Peter, 35
Arda, 35
Setti, 35
Ronni, 35
Venne, 35
John-Erik, 34
Leander, 34
Dan-Erik, 34
Arni, 34
Dario, 34
Philipp, 34
Abdiaziz, 34
Onni-Pekka, 34
Kristjan, 34
Ervo, 34
Östen, 34
Ari-Juhani, 34
Christos, 34
Antti-Matti, 34
Eli, 34
Simopekka, 34
Grigori, 34
Tien, 34
Hendrik, 34
Mikko-Matias, 34
Aabel, 34
Ammar, 34
Samy, 33
Claudio, 33
Nilla, 33
Ismael, 33
Henning, 33
