// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Ana, 158
Adeliina, 157
Raija-Leena, 157
Hille, 157
Crista, 157
Majlis, 157
Betty, 156
Rina, 156
Ranja, 156
Margaretha, 156
Elizaveta, 155
Ann-Charlotte, 155
Nellie, 154
Ann-Kristin, 154
Clarissa, 153
Lucia, 152
Karen, 152
Henna-Maria, 152
Klaudia, 152
Katri-Helena, 152
Yulia, 151
Annaleena, 151
Pirjo-Leena, 150
Margot, 150
Esther, 150
Iira, 150
Anni-Maria, 150
Milma, 149
Hilpi, 148
Rose-Marie, 148
Lisen, 148
Wenla, 147
Mina, 147
Hedvig, 147
Tindra, 147
Adelia, 147
Tarja-Liisa, 147
Nanni, 147
Rose, 146
Julie, 146
Manta, 146
Fadumo, 146
Tiia-Mari, 146
Ida-Sofia, 145
Santra, 145
Thelma, 145
Tiitu, 144
Hannaleena, 144
Viia, 144
Stephanie, 142
Martha, 142
Annamaria, 142
Cia, 141
Tiina-Maija, 141
Theresa, 141
Kaisa-Maria, 141
Catherine, 140
Janniina, 140
Aino-Kaisa, 139
Gerda, 139
Leena-Kaisa, 139
Maria-Liisa, 138
Tania, 137
Miia-Maria, 137
Maria-Leena, 136
Natasha, 136
Nia, 136
Jenni-Maria, 136
Ulla-Britt, 135
Mia-Maria, 134
Salla-Maria, 134
Eva-Liisa, 134
Sara-Sofia, 134
Iia, 134
Nina-Maria, 133
Anna-Reetta, 133
Eden, 133
Karola, 133
Gunnevi, 133
Liv, 133
Melanie, 133
Selena, 133
Liana, 133
Ann-Louise, 132
Laura-Maria, 132
Saara-Maria, 132
Annabella, 132
Hilkka-Liisa, 132
Renja, 132
Kata, 131
Milla-Maria, 131
Hanne-Mari, 131
Fredrika, 131
Marja-Sisko, 130
Märtha, 130
Ragni, 130
Marie-Louise, 130
Belinda, 129
Mariana, 129
Lumina, 129
Judith, 128
Anna-Elina, 128
Miitta, 128
Meri-Tuulia, 127
Sanna-Liisa, 126
Pulmu, 125
Suvi-Päivikki, 124
Malva, 123
Nilla, 123
Gabriela, 123
Marisa, 123
Cilla, 122
Ragnhild, 122
Niia, 122
Therese, 122
Seija-Liisa, 122
Cristina, 122
Jenita, 122
Malena, 122
Barbara, 122
Carin, 121
Lola, 121
Yasmine, 121
Oxana, 120
Anna-Stina, 120
Aurelia, 120
Riikka-Liisa, 120
Sofianna, 120
Judit, 120
Dorrit, 120
Ann-Maj, 119
Marian, 119
Ngoc, 119
Tiina-Maria, 119
Gun-Maj, 119
Vanamo, 118
Darja, 118
Tiina-Mari, 118
Dana, 118
Henna-Mari, 117
Eedla, 117
